# Contains the count of how many times a cell in the global cache had an insert performed to it.
# The fields are (insert count, touch count)
--------------------- BANK   0 --------------------
SET [ 28]  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [ 29]  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [ 30]  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [ 31]  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [ 32]  (     1,      4),  (     1,      4),  (     1,     27),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [ 33]  (     1, 1262837),  (     1,      5),  (     1,      5),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [ 34]  (     1,  36884),  (     1,      5),  (     1,      5),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [ 35]  (     1,    223),  (     1,      5),  (     1,      5),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [ 36]  (     1,     23),  (     1,      5),  (     1,      5),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [ 37]  (     1,     32),  (     1,      4),  (     1,      4),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [ 38]  (     1,      1),  (     1,      5),  (     1,      5),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [ 39]  (     1,      5),  (     1,      5),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [ 40]  (     1,      5),  (     1,      5),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [ 41]  (     1,      5),  (     1,      5),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [ 42]  (     1,      4),  (     1,      4),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [ 43]  (     1,      5),  (     1,      5),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
